Bar,Timestamp,Equity,Balance,UnrealizedPnL,PositionQty,Type
532,1704399180.0,30.00,30.00,0.00,0.00000000,BAR
533,1704399240.0,30.00,30.00,0.00,0.00000000,BAR
534,1704399300.0,30.00,30.00,0.00,0.00000000,BAR
535,1704399360.0,30.00,30.00,0.00,0.00000000,BAR
536,1704399420.0,30.00,30.00,0.00,0.00000000,BAR
537,1704399480.0,30.00,30.00,0.00,0.00000000,BAR
538,1704399540.0,30.00,30.00,0.00,0.00000000,BAR
539,1704399600.0,30.00,30.00,0.00,0.00000000,BAR
540,1704399660.0,30.00,30.00,0.00,0.00000000,BAR
541,1704399720.0,30.00,30.00,0.00,0.00000000,BAR
542,1704399780.0,30.00,30.00,0.00,0.00000000,BAR
543,1704399840.0,30.00,30.00,0.00,0.00000000,BAR
544,1704399900.0,30.00,30.00,0.00,0.00000000,BAR
545,1704399960.0,30.00,30.00,0.00,0.00000000,BAR
546,1704400020.0,30.00,30.00,0.00,0.00000000,BAR
547,1704400080.0,30.00,30.00,0.00,0.00000000,BAR
548,1704400140.0,30.00,30.00,0.00,0.00000000,BAR
549,1704400200.0,30.00,30.00,0.00,0.00000000,BAR
550,1704400260.0,30.00,30.00,0.00,0.00000000,BAR
551,1704400320.0,30.00,30.00,0.00,0.00000000,BAR
552,1704400380.0,30.00,30.00,0.00,0.00000000,BAR
553,1704400440.0,30.00,30.00,0.00,0.00000000,BAR
554,1704400500.0,30.00,30.00,0.00,0.00000000,BAR
555,1704400560.0,30.00,30.00,0.00,0.00000000,BAR
556,1704400620.0,30.00,30.00,0.00,0.00000000,BAR
557,1704400680.0,30.00,30.00,0.00,0.00000000,BAR
558,1704400740.0,30.00,30.00,0.00,0.00000000,BAR
559,1704400800.0,30.00,30.00,0.00,0.00000000,BAR
560,1704400860.0,30.00,30.00,0.00,0.00000000,BAR
561,1704400920.0,30.00,30.00,0.00,0.00000000,BAR
562,1704400980.0,30.00,30.00,0.00,0.00000000,BAR
563,1704401040.0,30.00,30.00,0.00,0.00000000,BAR
564,1704401100.0,30.00,30.00,0.00,0.00000000,BAR
565,1704401160.0,30.00,30.00,0.00,0.00000000,BAR
566,1704401220.0,30.00,30.00,0.00,0.00000000,BAR
567,1704401280.0,30.00,30.00,0.00,0.00000000,BAR
568,1704401340.0,30.00,30.00,0.00,0.00000000,BAR
569,1704401400.0,30.00,30.00,0.00,0.00000000,BAR
570,1704401460.0,30.00,30.00,0.00,0.00000000,BAR
571,1704401520.0,30.00,30.00,0.00,0.00000000,BAR
572,1704401580.0,30.00,30.00,0.00,0.00000000,BAR
573,1704401640.0,30.00,30.00,0.00,0.00000000,BAR
574,1704401700.0,30.00,30.00,0.00,0.00000000,BAR
575,1704401760.0,30.00,30.00,0.00,0.00000000,BAR
576,1704401820.0,30.00,30.00,0.00,0.00000000,BAR
577,1704401880.0,30.00,30.00,0.00,0.00000000,BAR
578,1704401940.0,30.00,30.00,0.00,0.00000000,BAR
579,1704402000.0,30.00,30.00,0.00,0.00000000,BAR
580,1704402060.0,30.00,30.00,0.00,0.00000000,BAR
581,1704402120.0,30.00,30.00,0.00,0.00000000,BAR
582,1704402180.0,30.00,30.00,0.00,0.00000000,BAR
583,1704402240.0,30.00,30.00,0.00,0.00000000,BAR
584,1704402300.0,30.00,30.00,0.00,0.00000000,BAR
585,1704402360.0,30.00,30.00,0.00,0.00000000,BAR
586,1704402420.0,30.00,30.00,0.00,0.00000000,BAR
587,1704402480.0,30.00,30.00,0.00,0.00000000,BAR
588,1704402540.0,30.00,30.00,0.00,0.00000000,BAR
589,1704402600.0,30.00,30.00,0.00,0.00000000,BAR
590,1704402660.0,30.00,30.00,0.00,0.00000000,BAR
591,1704402720.0,30.00,30.00,0.00,0.00000000,BAR
592,1704402780.0,30.00,30.00,0.00,0.00000000,BAR
593,1704402840.0,30.00,30.00,0.00,0.00000000,BAR
594,1704402900.0,30.00,30.00,0.00,0.00000000,BAR
595,1704402960.0,30.00,30.00,0.00,0.00000000,BAR
596,1704403020.0,30.00,30.00,0.00,0.00000000,BAR
597,1704403080.0,30.00,30.00,0.00,0.00000000,BAR
598,1704403140.0,30.00,30.00,0.00,0.00000000,BAR
599,1704403200.0,30.00,30.00,0.00,0.00000000,BAR
600,1704403260.0,30.00,30.00,0.00,0.00000000,BAR
601,1704403320.0,30.00,30.00,0.00,0.00000000,BAR
602,1704403380.0,30.00,30.00,0.00,0.00000000,BAR
603,1704403440.0,30.00,30.00,0.00,0.00000000,BAR
604,1704403500.0,30.00,30.00,0.00,0.00000000,BAR
605,1704403560.0,30.00,30.00,0.00,0.00000000,BAR
606,1704403620.0,30.00,30.00,0.00,0.00000000,BAR
607,1704403680.0,30.00,30.00,0.00,0.00000000,BAR
608,1704403740.0,30.00,30.00,0.00,0.00000000,BAR
609,1704403800.0,30.00,30.00,0.00,0.00000000,BAR
610,1704403860.0,30.00,30.00,0.00,0.00000000,BAR
611,1704403920.0,30.00,30.00,0.00,0.00000000,BAR
612,1704403980.0,30.00,30.00,0.00,0.00000000,BAR
613,1704404040.0,30.00,30.00,0.00,0.00000000,BAR
614,1704404100.0,30.00,30.00,0.00,0.00000000,BAR
